Continent,Year,Population
North America,2036,402994
Oceania,2036,50908
Africa,2037,1956702
Asia,2037,5136907
Europe,2037,732293
Lat. Am. & C.,2037,733272
North America,2037,404874
Oceania,2037,51390
Africa,2038,1996434
Asia,2038,5155403
Europe,2038,730833
Lat. Am. & C.,2038,736460
North America,2038,406695
Oceania,2038,51868
Africa,2039,2036458
Asia,2039,5172744
Europe,2039,729338
Lat. Am. & C.,2039,739485
North America,2039,408461
Oceania,2039,52342
Africa,2040,2076750
Asia,2040,5188949
Europe,2040,727811
Lat. Am. & C.,2040,742348
North America,2040,410177
Oceania,2040,52814
Africa,2041,2117291
Asia,2041,5204027
Europe,2041,726252
Lat. Am. & C.,2041,745050
North America,2041,411844
Oceania,2041,53282
Africa,2042,2158062
Asia,2042,5217983
Europe,2042,724661
Lat. Am. & C.,2042,747592
North America,2042,413462
Oceania,2042,53748
Africa,2043,2199032
Asia,2043,5230826
Europe,2043,723037
Lat. Am. & C.,2043,749976
North America,2043,415036
Oceania,2043,54211
Africa,2044,2240172
Asia,2044,5242561
Europe,2044,721374
Lat. Am. & C.,2044,752207
North America,2044,416570
Oceania,2044,54672
Africa,2045,2281453
Asia,2045,5253195
Europe,2045,719669
Lat. Am. & C.,2045,754287
North America,2045,418070
Oceania,2045,55130
Africa,2046,2322852
Asia,2046,5262740
Europe,2046,717922
Lat. Am. & C.,2046,756217
North America,2046,419540
Oceania,2046,55585
Africa,2047,2364351
Asia,2047,5271207
Europe,2047,716133
Lat. Am. & C.,2047,757998
North America,2047,420982
Oceania,2047,56037
Africa,2048,2405933
Asia,2048,5278608
Europe,2048,714299
Lat. Am. & C.,2048,759629
North America,2048,422402
Oceania,2048,56487
Africa,2049,2447580
Asia,2049,5284956
Europe,2049,712417
Lat. Am. & C.,2049,761107
North America,2049,423807
Oceania,2049,56933
Africa,2050,2489275
Asia,2050,5290263
Europe,2050,710486
Lat. Am. & C.,2050,762432
North America,2050,425200
Oceania,2050,57376
Africa,2051,2531002
Asia,2051,5294546
Europe,2051,708507
Lat. Am. & C.,2051,763605
North America,2051,426587
Oceania,2051,57816
Africa,2052,2572740
Asia,2052,5297819
Europe,2052,706480
Lat. Am. & C.,2052,764625
North America,2052,427970
Oceania,2052,58252
Africa,2053,2614472
Asia,2053,5300090
Europe,2053,704406
Lat. Am. & C.,2053,765496
North America,2053,429354
Oceania,2053,58684
Africa,2054,2656178
Asia,2054,5301366
Europe,2054,702286
Lat. Am. & C.,2054,766218
North America,2054,430745
Oceania,2054,59113
Africa,2055,2697840
Asia,2055,5301659
Europe,2055,700121
Lat. Am. & C.,2055,766792
North America,2055,432148
Oceania,2055,59538
Africa,2056,2739442
Asia,2056,5300984
Europe,2056,697913
Lat. Am. & C.,2056,767221
North America,2056,433565
Oceania,2056,59960
Africa,2057,2780967
Asia,2057,5299367
Europe,2057,695669
Lat. Am. & C.,2057,767504
North America,2057,434996
Oceania,2057,60379
Africa,2058,2822404
Asia,2058,5296840
Europe,2058,693394
Lat. Am. & C.,2058,767643
North America,2058,436443
Oceania,2058,60793
Africa,2059,2863745
Asia,2059,5293445
Europe,2059,691099
Lat. Am. & C.,2059,767640
North America,2059,437904
Oceania,2059,61204
Africa,2060,2904977
Asia,2060,5289216
Europe,2060,688790
Lat. Am. & C.,2060,767495
North America,2060,439379
Oceania,2060,61612
Africa,2061,2946088
Asia,2061,5284182
Europe,2061,686475
Lat. Am. & C.,2061,767210
North America,2061,440867
Oceania,2061,62015
Africa,2062,2987058
Asia,2062,5278363
Europe,2062,684158
Lat. Am. & C.,2062,766789
North America,2062,442367
Oceania,2062,62415
Africa,2063,3027869
Asia,2063,5271784
Europe,2063,681848
Lat. Am. & C.,2063,766231
North America,2063,443876
Oceania,2063,62811
Africa,2064,3068500
Asia,2064,5264468
Europe,2064,679558
Lat. Am. & C.,2064,765540
North America,2064,445389
Oceania,2064,63203
Africa,2065,3108931
Asia,2065,5256441
Europe,2065,677295
Lat. Am. & C.,2065,764717
North America,2065,446903
Oceania,2065,63593
Africa,2066,3149145
Asia,2066,5247728
Europe,2066,675066
Lat. Am. & C.,2066,763765
North America,2066,448415
Oceania,2066,63978
Africa,2067,3189127
Asia,2067,5238357
Europe,2067,672876
Lat. Am. & C.,2067,762687
North America,2067,449923
Oceania,2067,64361
Africa,2068,3228861
Asia,2068,5228352
Europe,2068,670730
Lat. Am. & C.,2068,761486
North America,2068,451422
Oceania,2068,64740
Africa,2069,3268333
Asia,2069,5217738
Europe,2069,668634
Lat. Am. & C.,2069,760163
North America,2069,452906
Oceania,2069,65115
Africa,2070,3307528
Asia,2070,5206542
Europe,2070,666591
Lat. Am. & C.,2070,758723
North America,2070,454369
Oceania,2070,65486
Africa,2071,3346428
Asia,2071,5194788
Europe,2071,664605
Lat. Am. & C.,2071,757169
North America,2071,455811
Oceania,2071,65854
Africa,2072,3385017
Asia,2072,5182504
Europe,2072,662680
Lat. Am. & C.,2072,755504
North America,2072,457229
Oceania,2072,66217
Africa,2073,3423279
Asia,2073,5169718
Europe,2073,660817
Lat. Am. & C.,2073,753731
North America,2073,458622
Oceania,2073,66576
Africa,2074,3461197
Asia,2074,5156461
Europe,2074,659018
Lat. Am. & C.,2074,751854
North America,2074,459989
Oceania,2074,66931
Africa,2075,3498757
Asia,2075,5142761
Europe,2075,657283
Lat. Am. & C.,2075,749876
North America,2075,461329
Oceania,2075,67282
Africa,2076,3535942
Asia,2076,5128646
Europe,2076,655615
Lat. Am. & C.,2076,747801
North America,2076,462642
Oceania,2076,67629
Africa,2077,3572737
Asia,2077,5114140
Europe,2077,654012
Lat. Am. & C.,2077,745633
North America,2077,463927
Oceania,2077,67971
Africa,2078,3609122
Asia,2078,5099267
Europe,2078,652474
Lat. Am. & C.,2078,743377
North America,2078,465187
Oceania,2078,68310
Africa,2079,3645073
Asia,2079,5084050
Europe,2079,651000
Lat. Am. & C.,2079,741038
North America,2079,466423
Oceania,2079,68644
Africa,2080,3680571
Asia,2080,5068513
Europe,2080,649589
Lat. Am. & C.,2080,738620
North America,2080,467639
Oceania,2080,68974
Africa,2081,3715601
Asia,2081,5052673
Europe,2081,648238
Lat. Am. & C.,2081,736128
North America,2081,468835
Oceania,2081,69299
Africa,2082,3750151
Asia,2082,5036557
Europe,2082,646946
Lat. Am. & C.,2082,733566
North America,2082,470013
Oceania,2082,69620
Africa,2083,3784211
Asia,2083,5020199
Europe,2083,645711
Lat. Am. & C.,2083,730938
North America,2083,471175
Oceania,2083,69937
Africa,2084,3817772
Asia,2084,5003639
Europe,2084,644530
Lat. Am. & C.,2084,728248
North America,2084,472325
Oceania,2084,70252
Africa,2085,3850826
Asia,2085,4986908
Europe,2085,643399
Lat. Am. & C.,2085,725502
North America,2085,473464
Oceania,2085,70563
Africa,2086,3883362
Asia,2086,4970025
Europe,2086,642316
Lat. Am. & C.,2086,722703
North America,2086,474595
Oceania,2086,70872
Africa,2087,3915371
Asia,2087,4953000
Europe,2087,641277
Lat. Am. & C.,2087,719855
North America,2087,475720
Oceania,2087,71179
Africa,2088,3946842
Asia,2088,4935843
Europe,2088,640278
Lat. Am. & C.,2088,716962
North America,2088,476842
Oceania,2088,71483
Africa,2089,3977767
Asia,2089,4918558
Europe,2089,639310
Lat. Am. & C.,2089,714028
North America,2089,477966
Oceania,2089,71784
Africa,2090,4008138
Asia,2090,4901149
Europe,2090,638369
Lat. Am. & C.,2090,711056
North America,2090,479097
Oceania,2090,72084
Africa,2091,4037947
Asia,2091,4883621
Europe,2091,637449
Lat. Am. & C.,2091,708050
North America,2091,480235
Oceania,2091,72381
Africa,2092,4067188
Asia,2092,4865974
Europe,2092,636547
Lat. Am. & C.,2092,705014
North America,2092,481382
Oceania,2092,72677
Africa,2093,4095856
Asia,2093,4848209
Europe,2093,635661
Lat. Am. & C.,2093,701950
North America,2093,482537
Oceania,2093,72969
Africa,2094,4123946
Asia,2094,4830324
Europe,2094,634786
Lat. Am. & C.,2094,698862
North America,2094,483702
Oceania,2094,73259
Africa,2095,4151453
Asia,2095,4812313
Europe,2095,633921
Lat. Am. & C.,2095,695753
North America,2095,484875
Oceania,2095,73545
Africa,2096,4178373
Asia,2096,4794167
Europe,2096,633060
Lat. Am. & C.,2096,692626
North America,2096,486057
Oceania,2096,73828
Africa,2097,4204704
Asia,2097,4775873
Europe,2097,632199
Lat. Am. & C.,2097,689484
North America,2097,487249
Oceania,2097,74107
Africa,2098,4230441
Asia,2098,4757413
Europe,2098,631334
Lat. Am. & C.,2098,686329
North America,2098,488450
Oceania,2098,74381
Africa,2099,4255583
Asia,2099,4738766
Europe,2099,630457
Lat. Am. & C.,2099,683165
North America,2099,489663
Oceania,2099,74651
Africa,2100,4280127
Asia,2100,4719907
Europe,2100,629563
Lat. Am. & C.,2100,679993
North America,2100,490889
Oceania,2100,74916
